College_Name,URL_CtP
Baptist University of the Americas,https://ChangingThePresent.org/collections/Baptist-University-Of-The-Americas
Barclay College,https://ChangingThePresent.org/collections/Barclay-College
Bard College,https://ChangingThePresent.org/collections/Bard-College
Bard College at Simon's Rock,https://ChangingThePresent.org/collections/Bard-College-At-Simon-S-Rock
Barnard College,https://ChangingThePresent.org/collections/Barnard-College
Barnes-Jewish College Goldfarb School of Nursing,https://ChangingThePresent.org/collections/Barnes-Jewish-College-Goldfarb-School-Of-Nursing
Barry University,https://ChangingThePresent.org/collections/Barry-University
Barstow Community College,https://ChangingThePresent.org/collections/Barstow-Community-College
Barton College,https://ChangingThePresent.org/collections/Barton-College
Barton County Community College,https://ChangingThePresent.org/collections/Barton-County-Community-College
Bastyr University,https://ChangingThePresent.org/collections/Bastyr-University
Bates College,https://ChangingThePresent.org/collections/Bates-College
Bates Technical College,https://ChangingThePresent.org/collections/Bates-Technical-College
Baton Rouge Community College,https://ChangingThePresent.org/collections/Baton-Rouge-Community-College
Baton Rouge General Medical Center-School of Nursing,https://ChangingThePresent.org/collections/Baton-Rouge-General-Medical-Center-School-Of-Nursing
Baton Rouge General Medical Center-School of Radiologic Technology,https://ChangingThePresent.org/collections/Baton-Rouge-General-Medical-Center-School-Of-Radiologic-Technology
Bay de Noc Community College,https://ChangingThePresent.org/collections/Bay-De-Noc-Community-College
Bay Mills Community College,https://ChangingThePresent.org/collections/Bay-Mills-Community-College
Bay Path University,https://ChangingThePresent.org/collections/Bay-Path-University
Baylor College of Medicine,https://ChangingThePresent.org/collections/Baylor-College-Of-Medicine
Baylor University,https://ChangingThePresent.org/collections/Baylor-University
Beacon College,https://ChangingThePresent.org/collections/Beacon-College
Beaufort County Community College,https://ChangingThePresent.org/collections/Beaufort-County-Community-College
Beaumont Adult School,https://ChangingThePresent.org/collections/Beaumont-Adult-School
Becker College,https://ChangingThePresent.org/collections/Becker-College
Be'er Yaakov Talmudic Seminary,https://ChangingThePresent.org/collections/Be-Er-Yaakov-Talmudic-Seminary
Beis Medrash Heichal Dovid,https://ChangingThePresent.org/collections/Beis-Medrash-Heichal-Dovid
Belanger School of Nursing,https://ChangingThePresent.org/collections/Belanger-School-Of-Nursing
Belhaven University,https://ChangingThePresent.org/collections/Belhaven-University
